"","Pos.","Nombre","Valor","PT","Prom","Reg","PJ","F","GC","GP","GR","EC","VI","A","R","PE","PA","equipo"
"1","ARQ","Bulasio, Ariel","$2.000.000","19","3,00","0,00","6","0","0","0","0","0","0","2","1","0","0","aldosivi"
"2","ARQ","Vega, Matías","$1.000.000","19","3,00","0,00","6","0","0","0","0","0","0","2","1","0","0","aldosivi"
"3","ARQ","Campodónico, Pablo","$3.400.000","84","5,60","16,17","15","1","0","0","20","0","6","2","0","0","0","aldosivi"
"4","DEF","Díaz, Gastón","$3.000.000","77","5,92","14,84","13","0","1","2","0","0","5","7","1","0","0","aldosivi"
"5","DEF","Soto, Carlos","$2.200.000","5","5,00","1,38","1","0","0","0","0","0","0","0","0","0","0","aldosivi"
"6","DEF","Canever, Franco","$2.900.000","83","5,93","7,52","14","0","0","0","0","0","6","1","0","0","0","aldosivi"
"7","DEF","Ortíz, Guillermo","$2.400.000","26","5,20","6,96","5","0","0","0","0","1","3","1","0","0","0","aldosivi"
"8","DEF","Lequi, Matías","$3.600.000","73","6,64","24,68","11","0","1","0","0","0","4","5","0","0","0","aldosivi"
"9","DEF","León, Gonzalo","$800.000","19","3,00","0,00","6","0","0","0","0","0","1","2","1","0","0","aldosivi"
"10","DEF","León, Federico","$2.800.000","84","5,60","5,82","15","0","0","0","0","0","6","3","0","0","0","aldosivi"
"11","DEF","Vargas, Roque","$1.600.000","19","3,00","0,00","6","0","0","0","0","0","1","2","1","0","0","aldosivi"
"12","DEF","Quílez, Ismael","$2.600.000","4","4,00","0,89","1","0","0","0","0","0","0","0","0","0","0","aldosivi"
"13","VOL","Gargiulo, Juan Pablo","$2.000.000","19","3,00","0,00","6","0","0","0","0","0","0","2","1","0","0","aldosivi"
"14","VOL","Galván, Jonatan","$2.600.000","0","0,00","0,00","0","0","0","0","0","0","0","0","0","0","0","aldosivi"
"15","VOL","Fredes, Leonardo","$1.400.000","19","3,00","0,00","6","0","0","0","0","0","0","2","1","0","0","aldosivi"
"16","VOL","Rivero, Martín","$1.200.000","31","5,17","6,15","6","0","0","0","0","0","0","0","0","0","0","aldosivi"
"17","VOL","Toro, Braian","$900.000","0","0,00","0,00","0","0","0","0","0","0","0","0","0","0","0","aldosivi"
"18","VOL","Capurro, Alejandro","$3.200.000","62","5,17","6,35","12","0","0","0","0","0","0","2","0","0","0","aldosivi"
"19","VOL","Seccafién, Enrique","$3.000.000","31","4,43","5,20","7","0","0","0","0","0","0","2","0","0","0","aldosivi"
"20","VOL","Muller, Miltón","$700.000","19","3,00","0,00","6","0","0","0","0","0","0","2","1","0","0","aldosivi"
"21","VOL","Buzzini, Mariano","$500.000","0","0,00","0,00","0","0","0","0","0","0","0","0","0","0","0","aldosivi"
"22","VOL","Lamberti, Hernán","$3.100.000","70","5,00","5,04","14","0","0","0","0","0","0","5","0","0","0","aldosivi"
"23","DEL","Vildozo, Angel","$2.500.000","5","5,00","1,38","1","0","0","0","0","0","0","0","0","0","0","aldosivi"
"24","DEL","Lugüercio, Pablo","$3.700.000","90","6,00","13,50","15","1","3","0","0","0","0","4","0","0","0","aldosivi"
"25","DEL","Martínez, Roger","$3.300.000","114","8,14","25,50","14","4","5","0","0","0","0","6","0","0","0","aldosivi"
"26","DEL","Sand, José Gustavo","$4.400.000","97","6,93","14,68","14","1","4","0","0","0","0","3","0","0","0","aldosivi"
"27","DEL","Lagos, Diego","$3.500.000","58","6,44","21,65","9","2","1","0","0","0","0","3","0","0","0","aldosivi"
"28","DEL","Menseguez, Juan Carlos","$2.300.000","9","4,50","2,13","2","0","0","0","0","0","0","0","0","0","0","aldosivi"
"29","DEL","Dip, Daniel","$1.000.000","19","3,00","0,00","6","0","0","0","0","0","0","2","1","0","0","aldosivi"
"30","DEL","Miracco, Nicolás","$2.200.000","4","4,00","0,89","1","0","0","0","0","0","0","0","0","0","0","aldosivi"
"31","ARQ","Gabbarini, Adrián","$3.600.000","19","3,00","0,00","6","0","0","0","0","0","0","2","1","0","0","argentinos"
"32","ARQ","Giovini, Sebastián","$600.000","19","3,00","0,00","6","0","0","0","0","0","0","2","1","0","0","argentinos"
"33","DEF","Rodríguez, Lucas","$1.900.000","19","3,00","0,00","6","0","0","0","0","0","1","2","1","0","0","argentinos"
"34","DEF","Alvarez, Cristian","$3.000.000","38","6,33","11,00","6","1","0","0","0","0","4","2","0","0","0","argentinos"
"35","DEF","Sabia, Juan Alberto","$2.500.000","19","3,00","0,00","6","0","0","0","0","0","1","2","1","0","0","argentinos"
"36","DEF","Batista, Nicolás","$3.100.000","19","3,00","0,00","6","0","0","0","0","0","1","2","1","0","0","argentinos"
"37","DEF","Almandoz, Mariano","$2.200.000","15","5,00","4,46","3","0","0","0","0","0","1","1","0","0","0","argentinos"
"38","DEF","Matricardi, Patricio","$2.000.000","68","4,86","6,59","14","0","0","0","0","0","7","4","1","0","0","argentinos"
"39","DEF","Laso, Joaquín","$1.300.000","16","4,00","4,88","4","0","0","0","0","0","1","1","1","0","0","argentinos"
"40","DEF","Flores, Franco","$3.000.000","47","5,22","9,71","9","0","0","0","0","0","4","1","1","0","0","argentinos"
"41","DEF","Torrén, Miguel Angel","$3.300.000","47","5,88","11,00","8","0","0","0","0","0","5","3","0","0","0","argentinos"
"42","DEF","Freire, Nicolás","$2.600.000","42","5,25","9,31","8","0","0","0","0","0","4","2","0","0","0","argentinos"
"43","DEF","Garré, Ezequiel","$3.500.000","77","5,92","8,72","13","0","0","1","0","0","6","1","1","0","0","argentinos"
"44","VOL","Agüero, Emiliano","$500.000","27","4,50","4,83","6","0","0","0","0","0","0","1","0","0","0","argentinos"
"45","VOL","García, Matías","$1.000.000","19","3,00","0,00","6","0","0","0","0","0","0","2","1","0","0","argentinos"
"46","VOL","Gallego, Federico","$2.400.000","70","5,38","7,87","13","0","1","0","0","0","0","3","0","0","0","argentinos"
"47","VOL","Giménez, Matías","$2.700.000","13","4,33","2,89","3","0","0","0","0","0","0","0","0","0","0","argentinos"
"48","VOL","Alaniz, Martín","$500.000","23","4,60","4,46","5","0","0","0","0","0","0","0","0","0","0","argentinos"
"49","VOL","Ham, Ezequiel","$900.000","19","3,00","0,00","6","0","0","0","0","0","0","2","1","0","0","argentinos"
"50","VOL","Iñiguez, Gaspar","$3.000.000","68","5,67","9,88","12","1","0","0","0","0","0","2","0","0","0","argentinos"
"51","VOL","Basualdo, Germán","$2.300.000","19","3,00","0,00","6","0","0","0","0","0","0","2","1","0","0","argentinos"
"52","VOL","Ledesma, Cristian","$4.300.000","49","5,44","11,40","9","1","0","0","0","0","0","2","0","0","0","argentinos"
"53","VOL","Cabral, Luciano","$2.800.000","41","6,83","19,54","6","1","1","0","0","0","0","0","0","0","0","argentinos"
"54","VOL","Trovento, Emiliano","$300.000","19","3,00","0,00","6","0","0","0","0","0","0","2","1","0","0","argentinos"
"55","DEL","Lenis, Reinaldo","$3.300.000","66","5,08","5,75","13","0","0","0","0","0","0","1","0","0","0","argentinos"
"56","DEL","Castillejos, Gonzalo","$3.600.000","30","5,00","7,59","6","1","0","0","0","0","0","0","0","0","0","argentinos"
"57","DEL","Rinaldi, Lautaro","$2.300.000","71","5,92","12,03","12","0","3","0","0","0","0","1","0","0","0","argentinos"
"58","DEL","Franzoia, Andrés","$3.500.000","50","5,56","10,41","9","0","2","0","0","0","0","0","0","0","0","argentinos"
"59","DEL","Cano, Lucas","$2.600.000","19","3,00","0,00","6","0","0","0","0","0","0","2","1","0","0","argentinos"
"60","DEL","Rodríguez, Jonathan","$1.400.000","57","5,70","11,64","10","0","1","0","0","0","0","1","0","0","0","argentinos"
"61","ARQ","Andrada, Esteban","$2.500.000","61","5,08","16,01","12","1","0","0","12","0","4","2","0","0","0","arsenal"
"62","ARQ","Marussi, Alan","$500.000","19","3,00","0,00","6","0","0","0","0","0","0","2","1","0","0","arsenal"
"63","ARQ","Limia, Oscar A.","$2.000.000","7","2,33","1,30","3","0","0","0","7","0","0","0","0","0","0","arsenal"
"64","DEF","Sarulyte, Matías","$4.000.000","43","7,17","18,01","6","0","1","0","0","0","2","1","0","0","0","arsenal"
"65","DEF","Zaldivia, Matías","$2.600.000","41","4,56","5,69","9","0","0","0","0","0","2","3","0","0","0","arsenal"
"66","DEF","San Román, José","$3.000.000","19","3,00","0,00","6","0","0","0","0","0","1","2","1","0","0","arsenal"
"67","DEF","Rosero Valencia, D.","$2.900.000","31","3,88","7,09","8","0","0","0","0","0","3","2","2","0","0","arsenal"
"68","DEF","Curbelo, Jorge","$3.300.000","58","4,46","4,83","13","0","0","0","0","0","4","5","0","0","0","arsenal"
"69","DEF","Corvalán, Claudio","$2.500.000","19","3,00","0,00","6","0","0","0","0","0","1","2","1","0","0","arsenal"
"70","DEF","Varga, Iván","$1.700.000","25","5,00","5,54","5","0","0","0","0","0","1","0","0","0","0","arsenal"
"71","DEF","Curado, Marcos","$700.000","17","5,67","4,82","3","0","0","0","0","0","2","1","0","0","0","arsenal"
"72","VOL","Esmerado, Gastón","$1.500.000","4","4,00","0,89","1","0","0","0","0","0","0","0","0","0","0","arsenal"
"73","VOL","Zaldívar, Matías","$1.200.000","19","3,00","0,00","6","0","0","0","0","0","0","2","1","0","0","arsenal"
"74","VOL","Flores, Gabriel","$300.000","19","3,00","0,00","6","0","0","0","0","0","0","2","1","0","0","arsenal"
"75","VOL","Fredes, Hernán","$3.800.000","29","4,83","5,74","6","0","0","0","0","0","0","1","0","0","0","arsenal"
"76","VOL","Giménez, Gonzalo","$400.000","19","3,00","0,00","6","0","0","0","0","0","0","2","1","0","0","arsenal"
"77","VOL","Godoy, Leandro","$600.000","12","4,00","2,80","3","0","0","0","0","0","0","1","0","0","0","arsenal"
"78","VOL","Chávez, Cristian","$3.700.000","0","0,00","0,00","0","0","0","0","0","0","0","0","0","0","0","arsenal"
"79","VOL","Carrera, Ramiro","$2.500.000","76","5,85","33,43","13","1","3","0","0","0","0","4","1","0","0","arsenal"
"80","VOL","Marcone, Iván","$3.500.000","72","4,80","5,00","15","1","0","0","0","0","0","4","0","0","0","arsenal"
"81","VOL","Caneo, Miguel","$4.700.000","0","0,00","0,00","0","0","0","0","0","0","0","0","0","0","0","arsenal"
"82","VOL","Milo, Federico","$1.000.000","18","4,50","4,41","4","0","0","0","0","0","0","1","0","0","0","arsenal"
"83","VOL","Campos Toro, Matías","$2.500.000","37","4,63","5,67","8","0","0","0","0","0","0","1","0","0","0","arsenal"
"84","VOL","Bareiro, Ezequiel","$900.000","19","3,00","0,00","6","0","0","0","0","0","0","2","1","0","0","arsenal"
"85","VOL","Ruiz, Ezequiel","$600.000","20","6,67","8,97","3","0","1","0","0","0","0","0","0","0","0","arsenal"
"86","DEL","Zelaya, Emilio","$3.000.000","19","3,00","0,00","6","0","0","0","0","0","0","2","1","0","0","arsenal"
"87","DEL","Herrera, Maximiliano","$900.000","19","3,00","0,00","6","0","0","0","0","0","0","2","1","0","0","arsenal"
"88","DEL","Costa, Franco","$600.000","14","4,67","3,20","3","0","0","0","0","0","0","0","0","0","0","arsenal"
"89","DEL","Rasic, Federico","$3.200.000","26","5,20","7,43","5","0","0","1","0","0","0","0","0","0","0","arsenal"
"90","DEL","Ciaccheri, Esteban","$1.000.000","4","4,00","0,89","1","0","0","0","0","0","0","0","0","0","0","arsenal"
"91","DEL","Muñoz, Fabián","$3.400.000","51","4,64","5,18","11","0","0","0","0","0","0","0","0","0","0","arsenal"
"92","DEL","Burzio, Pablo","$2.700.000","51","5,10","7,06","10","0","0","0","0","0","0","0","0","0","0","arsenal"
"93","DEL","Pugh, Lucas","$600.000","10","5,00","2,60","2","0","0","0","0","0","0","0","0","0","0","arsenal"
"94","DEL","Silva, Santiago","$4.900.000","81","6,75","26,06","12","1","4","0","0","0","0","4","0","0","0","arsenal"
"95","ARQ","Werner, Axel","$600.000","19","3,00","0,00","6","0","0","0","0","0","0","2","1","0","0","atletico-rafaela"
"96","ARQ","Rossetti, Guido","$400.000","0","0,00","0,00","0","0","0","0","0","0","0","0","0","0","0","atletico-rafaela"
"97","ARQ","Conde, Esteban","$3.200.000","42","3,82","9,54","11","0","0","0","18","0","2","1","0","0","0","atletico-rafaela"
"98","ARQ","De Giorgi, Carlos","$2.500.000","36","9,00","18,22","4","2","0","0","2","0","1","0","0","0","0","atletico-rafaela"
"99","DEF","Sacks, Joel","$3.000.000","46","5,11","7,74","9","0","0","0","0","0","2","0","0","0","0","atletico-rafaela"
"100","DEF","Eluchans, Juan","$3.400.000","71","5,92","10,85","12","0","0","2","0","0","3","2","0","0","0","atletico-rafaela"
"101","DEF","Canavessio, Nicolás","$800.000","19","3,00","0,00","6","0","0","0","0","0","1","2","1","0","0","atletico-rafaela"
"102","DEF","Godoy, Leonardo","$300.000","4","4,00","0,89","1","0","0","0","0","0","0","0","0","0","0","atletico-rafaela"
"103","DEF","Gómez, Mauricio","$1.500.000","4","4,00","0,89","1","0","0","0","0","0","0","0","0","0","0","atletico-rafaela"
"104","DEF","Ré, Germán","$3.500.000","82","5,47","4,73","15","0","0","0","0","0","4","0","0","0","0","atletico-rafaela"
"105","DEF","Kruspzky, Lucas","$2.500.000","7","3,50","1,54","2","0","0","0","0","0","0","1","0","0","0","atletico-rafaela"
"106","DEF","Martínez, Sebastián","$2.900.000","19","3,00","0,00","6","0","0","0","0","0","1","2","1","0","0","atletico-rafaela"
"107","VOL","Marino, Guillermo","$3.000.000","41","5,13","9,89","8","0","1","0","0","0","0","2","0","0","0","atletico-rafaela"
"108","VOL","Serrano, Walter","$3.200.000","67","4,79","11,47","14","0","1","0","0","0","0","3","1","0","0","atletico-rafaela"
"109","VOL","Montiel, Diego","$1.200.000","19","3,00","0,00","6","0","0","0","0","0","0","2","1","0","0","atletico-rafaela"
"110","VOL","Morales, Dimas","$2.000.000","57","5,70","11,76","10","0","1","0","0","0","0","0","0","0","0","atletico-rafaela"
"111","VOL","Morales, Gabriel","$500.000","2","2,00","0,22","1","0","0","0","0","0","0","1","0","0","0","atletico-rafaela"
"112","VOL","Ferreyra, Osmar","$2.300.000","19","3,00","0,00","6","0","0","0","0","0","0","2","1","0","0","atletico-rafaela"
"113","VOL","Gaitán, Pablo","$1.500.000","2","2,00","0,22","1","0","0","0","0","0","0","1","0","0","0","atletico-rafaela"
"114","VOL","Rodríguez Rojas, G.","$2.000.000","19","3,00","0,00","6","0","0","0","0","0","0","2","1","0","0","atletico-rafaela"
"115","VOL","Graciani, Gabriel","$3.200.000","15","5,00","3,75","3","0","0","0","0","0","0","0","0","0","0","atletico-rafaela"
"116","VOL","Bastía, Adrián","$3.700.000","89","6,36","23,94","14","2","2","0","0","0","0","3","1","0","0","atletico-rafaela"
"117","DEL","Quiroga, Mauro","$1.000.000","4","4,00","0,89","1","0","0","0","0","0","0","0","0","0","0","atletico-rafaela"
"118","DEL","Jominy, Franco","$800.000","20","6,67","7,44","3","0","1","0","0","0","0","0","0","0","0","atletico-rafaela"
"119","DEL","Pussetto, Ignacio","$1.800.000","0","0,00","0,00","0","0","0","0","0","0","0","0","0","0","0","atletico-rafaela"
"120","DEL","Sosa, Sergio","$1.000.000","17","4,25","3,29","4","0","0","0","0","0","0","0","0","0","0","atletico-rafaela"
"121","DEL","Orsini, Nicolás","$1.400.000","19","4,75","4,22","4","0","0","0","0","0","0","0","0","0","0","atletico-rafaela"
"122","ARQ","Altamirano, Facundo","$500.000","19","3,00","0,00","6","0","0","0","0","0","0","2","1","0","0","banfield"
"123","ARQ","Pellegrino, Fernando","$2.200.000","22","5,50","6,68","4","0","0","0","4","0","2","0","0","0","0","banfield"
"124","ARQ","Bologna, Enrique","$3.500.000","63","5,25","9,15","12","0","0","0","14","0","3","0","0","0","0","banfield"
"125","DEF","Rodríguez, Jorge","$600.000","3","3,00","0,50","1","0","0","0","0","0","0","0","0","0","0","banfield"
"126","DEF","Bianchi Arce, N.","$3.200.000","74","4,93","4,70","15","0","0","0","0","0","4","2","0","0","0","banfield"
"127","DEF","Tevez, Nicolás","$500.000","19","3,00","0,00","6","0","0","0","0","0","1","2","1","0","0","banfield"
"128","DEF","Bettini, Gonzalo","$2.000.000","21","5,25","5,36","4","0","0","0","0","0","1","1","0","0","0","banfield"
"129","DEF","Vittor, Sergio","$3.000.000","64","5,33","10,86","12","1","0","0","0","0","3","4","1","0","0","banfield"
"130","DEF","Noguera, Fabián","$3.100.000","63","7,00","24,56","9","0","1","0","0","0","5","3","0","0","0","banfield"
