"","ID","Pos","Nombre","Valor","PT","Prom","Reg","PJ","F","GC","GP","GR","EC","VI","A","R","PE","PA","equipo","finalList"
"491",491,"DEL","Sand, José",4800000,155,11.92,70.84,13,3,11,3,0,0,0,2,0,1,0,"lanus",89
"905",905,"VOL","Malcorra, Ignacio",4900000,137,9.79,46.37,14,3,6,1,0,0,0,2,0,0,0,"union",82
"463",463,"ARQ","Monetti, Fernando",4500000,102,7.85,17.73,13,1,0,0,6,0,9,2,0,0,0,"lanus",70
"753",753,"DEL","Blandi, Nicolás",3500000,122,11.09,58.86,11,4,8,0,0,0,0,1,0,0,0,"san-lorenzo",66
"295",295,"DEL","Bordagaray, Fabián",3e+06,137,9.13,50.5,15,2,7,2,0,0,0,3,0,0,0,"defensa-y-justicia",56
"484",484,"VOL","Martínez, Román",4200000,116,9.67,49.44,12,3,5,0,0,0,0,5,0,0,0,"lanus",54
"65",65,"ARQ","Pellegrino, Fernando",3e+06,100,6.67,14.69,15,1,0,0,14,0,7,1,0,0,0,"arsenal",49
"338",338,"DEF","Oreja, Facundo",3900000,104,7.43,27,14,1,2,0,0,0,6,0,0,0,0,"gimnasia",47
"423",423,"DEL","Abila, Ramón",5500000,109,9.91,55.78,11,3,8,0,0,0,0,1,0,0,0,"huracan",44
"473",473,"DEF","Gómez, Gustavo",3600000,91,7,11.46,13,0,0,0,0,0,9,3,0,0,0,"lanus",40
"72",72,"DEF","Corvalán, Claudio",2500000,93,6.2,4.53,15,0,0,0,0,0,7,3,0,0,0,"arsenal",30
"82",82,"VOL","Barbieri, Mariano",2400000,94,7.83,26.86,12,2,2,0,0,0,0,1,0,0,0,"arsenal",30
"282",282,"VOL","Martínez, Tomás",1800000,97,7.46,27.81,13,2,3,0,0,0,0,3,0,0,0,"defensa-y-justicia",30
"218",218,"DEL","Tevez, Carlos",8500000,95,8.64,36.68,11,4,4,0,0,0,0,1,0,0,0,"boca",29
"517",517,"VOL","Rodríguez, Maxi",8e+06,100,7.14,28.19,14,1,4,0,0,0,0,1,0,0,0,"newells",29
"275",275,"DEF","Magallán, Lisandro",1500000,104,6.93,12.38,15,0,1,0,0,0,5,0,0,0,0,"defensa-y-justicia",27
"68",68,"DEF","Bottinelli, Jonathan",3500000,86,5.73,3.86,15,0,0,0,0,1,7,4,0,0,0,"arsenal",25
"398",398,"DEL","García, Santiago",2300000,117,9.75,41.46,12,3,8,1,0,0,0,4,1,0,0,"godoy-cruz",25
"432",432,"ARQ","Campaña, Martín",3500000,81,8.1,29.68,10,3,0,0,7,0,5,0,0,0,0,"independiente",23
"74",74,"DEF","Curado, Marcos",1300000,89,5.93,5,15,0,0,0,0,0,7,3,0,0,0,"arsenal",21
"368",368,"ARQ","Rey, Rodrigo",3100000,98,7,17.98,14,2,0,0,11,0,5,0,0,0,0,"godoy-cruz",20
"790",790,"DEL","Dening, Emanuel",2400000,114,7.6,22.36,15,2,6,0,0,0,0,3,0,0,0,"san-martin-san-juan",20
"88",88,"VOL","Sanabria, Gabriel",1800000,87,7.91,31.25,11,2,2,0,0,0,0,0,0,0,0,"arsenal",18
"471",471,"DEF","Braghieri, Diego",3900000,70,6.36,9.86,11,0,0,0,0,0,8,2,0,0,0,"lanus",18
"749",749,"VOL","Ortigoza, Néstor",5800000,99,7.62,35.65,13,1,2,2,0,0,0,3,0,1,0,"san-lorenzo",18
"302",302,"DEF","Schunke, Jonatan",4500000,92,7.08,12.06,13,0,1,0,0,0,6,1,0,0,0,"estudiantes",17
"273",273,"DEF","Delgado, Rafael",3400000,87,6.21,13.87,14,0,1,0,0,0,6,3,0,1,0,"defensa-y-justicia",16
"382",382,"VOL","Zuqui, Fernando",2800000,101,7.77,24.34,13,1,3,0,0,0,0,3,0,0,0,"godoy-cruz",16
"451",451,"VOL","Rigoni, Emiliano",4200000,93,7.15,23.4,13,1,3,0,0,0,0,2,0,0,0,"independiente",16
"312",312,"VOL","Ascacibar, Santiago",1e+06,84,6.46,11.31,13,3,0,0,0,0,0,4,0,0,0,"estudiantes",15
