"Name";"Position";"Club";"Age";"Int Caps";"Int Goals";"Wage";"Value";"Sale Value";"Best Rating";"Best Pot Rating";"Squad Rep";"Squad Status";"GK Rating";"SW Rating";"DL Rating";"DC Rating";"DR Rating";"WBL Rating";"WBR Rating";"DM Rating";"ML Rating";"MC Rating";"MR Rating";"AML Rating";"AMC Rating";"AMR Rating";"FS Rating";"TS Rating";"GK Pot Rating";"SW Pot Rating";"DL Pot Rating";"DC Pot Rating";"DR Pot Rating";"WBL Pot Rating";"WBR Pot Rating";"DM Pot Rating";"ML Pot Rating";"MC Pot Rating";"MR Pot Rating";"AML Pot Rating";"AMC Pot Rating";"AMR Pot Rating";"FS Pot Rating";"TS Pot Rating";"Unique ID";"Club ID"
"Canever, Franco";"D/WB/M L";"Aldosivi";"26";"0";"0";"2.080";"1.161.230";"1.958.340";"67,7% (FB)";"67,7% (FB)";"4750";"First Team";"33,25%";"52,48%";"67,66%";"49,50%";"63,13%";"67,06%";"62,57%";"57,74%";"66,39%";"59,78%";"61,80%";"64,99%";"56,56%";"61,80%";"57,75%";"51,12%";"33,25%";"52,48%";"67,66%";"49,50%";"63,13%";"67,06%";"62,57%";"57,85%";"66,39%";"59,92%";"61,80%";"64,99%";"56,56%";"61,80%";"57,75%";"51,12%";"14022658";"108510"
"Capurro, Alejandro";"DM";"Aldosivi";"35";"0";"0";"2.170";"145.320";"243.840";"71,6% (M)";"71,4% (M)";"4750";"First Team";"37,41%";"59,93%";"66,17%";"59,26%";"66,17%";"64,81%";"67,39%";"69,73%";"66,27%";"71,63%";"70,35%";"66,27%";"64,22%";"70,05%";"61,45%";"61,37%";"37,41%";"59,93%";"66,17%";"59,26%";"66,17%";"64,81%";"67,39%";"69,56%";"66,27%";"71,41%";"70,35%";"66,27%";"64,22%";"70,05%";"61,45%";"61,37%";"950056";"108510"
"Díaz, Gastón";"D/WB R, DM, M RC";"Aldosivi";"34";"0";"0";"2.310";"152.440";"257.010";"66,6% (W)";"66,6% (W)";"4750";"Key Player";"30,93%";"55,90%";"65,31%";"53,63%";"66,28%";"64,67%";"65,90%";"63,38%";"65,52%";"65,28%";"66,59%";"61,98%";"56,84%";"61,98%";"59,16%";"53,51%";"30,93%";"55,90%";"65,31%";"53,63%";"66,28%";"64,67%";"65,90%";"63,48%";"65,52%";"65,42%";"66,59%";"61,98%";"56,84%";"61,98%";"59,16%";"53,51%";"955472";"108510"
"Fredes, Leonardo";"AM L";"Aldosivi";"24";"0";"0";"710";"950.950";"1.261.480";"60,5% (W)";"62,1% (W)";"4750";"Backup";"28,04%";"44,43%";"50,59%";"40,47%";"50,59%";"54,14%";"51,48%";"48,43%";"60,54%";"51,41%";"56,36%";"60,14%";"57,36%";"56,36%";"56,51%";"47,45%";"28,73%";"45,79%";"52,15%";"41,70%";"52,15%";"55,73%";"53,00%";"50,14%";"62,10%";"53,24%";"57,80%";"61,68%";"58,97%";"57,80%";"57,95%";"48,58%";"14060065";"108510"
"Galván, Jonathan";"D C, DM";"Aldosivi";"25";"0";"0";"1.290";"1.415.410";"2.334.360";"67,6% (DM)";"68,7% (DM)";"4750";"First Team";"34,66%";"59,45%";"64,14%";"65,86%";"64,14%";"63,32%";"63,32%";"67,64%";"62,23%";"67,31%";"62,23%";"62,23%";"58,18%";"62,23%";"58,86%";"59,57%";"35,04%";"60,22%";"64,94%";"66,60%";"64,94%";"64,11%";"64,11%";"68,71%";"63,05%";"68,46%";"63,05%";"63,05%";"59,02%";"63,05%";"59,74%";"60,21%";"14048604";"108510"
"Lagos, Diego";"AM RC, F C";"Aldosivi";"29";"0";"0";"3.120";"1.090.890";"1.822.220";"72,5% (W)";"74,3% (W)";"4750";"Key Player";"30,99%";"54,13%";"62,49%";"52,05%";"62,49%";"63,20%";"63,20%";"59,12%";"67,68%";"63,38%";"71,54%";"67,68%";"67,37%";"72,53%";"71,09%";"63,14%";"31,78%";"55,65%";"64,08%";"53,35%";"64,08%";"64,77%";"64,77%";"61,00%";"69,32%";"65,45%";"73,28%";"69,32%";"69,13%";"74,29%";"72,91%";"64,73%";"956666";"108510"
"Lamberti, Hernán";"M RC";"Aldosivi";"31";"0";"0";"1.320";"189.580";"228.460";"72,6% (W)";"73,6% (W)";"4750";"First Team";"35,24%";"59,62%";"67,60%";"58,47%";"71,76%";"66,94%";"71,32%";"70,28%";"67,55%";"71,85%";"72,56%";"67,55%";"61,31%";"67,55%";"61,59%";"58,04%";"35,61%";"60,42%";"68,55%";"59,16%";"72,77%";"67,88%";"72,33%";"71,31%";"68,47%";"72,94%";"73,56%";"68,47%";"62,19%";"68,47%";"62,52%";"58,77%";"961320";"108510"
"León, Federico";"D RC";"Aldosivi";"31";"0";"0";"2.100";"427.870";"720.300";"69,0% (CB)";"70,1% (CB)";"4750";"First Team";"34,58%";"65,41%";"63,24%";"68,95%";"67,49%";"61,22%";"64,99%";"60,90%";"58,10%";"59,23%";"58,10%";"58,10%";"51,72%";"58,10%";"53,74%";"59,32%";"35,27%";"66,74%";"64,48%";"70,14%";"68,81%";"62,40%";"66,25%";"62,31%";"59,29%";"60,68%";"59,29%";"59,29%";"52,91%";"59,29%";"54,97%";"60,40%";"955975";"108510"
"Lequi, Matías";"D C";"Aldosivi";"34";"0";"0";"1.940";"133.140";"215.010";"73,9% (CB)";"73,9% (CB)";"4750";"First Team";"34,31%";"64,47%";"64,47%";"73,87%";"61,31%";"58,77%";"58,77%";"59,92%";"56,22%";"57,96%";"56,22%";"56,22%";"48,16%";"56,22%";"52,00%";"64,05%";"34,31%";"64,47%";"64,47%";"73,87%";"61,31%";"58,77%";"58,77%";"61,12%";"56,22%";"59,60%";"56,22%";"56,22%";"48,16%";"56,22%";"52,00%";"64,05%";"6300464";"108510"
"Lope, Andrés";"DM";"Aldosivi";"23";"0";"0";"780";"653.240";"1.099.990";"62,9% (M)";"68,8% (M)";"4750";"Rotation";"33,04%";"51,75%";"56,58%";"51,03%";"56,58%";"55,99%";"55,99%";"60,11%";"57,10%";"62,92%";"57,10%";"57,10%";"54,26%";"57,10%";"56,30%";"51,92%";"36,23%";"57,53%";"62,55%";"56,19%";"62,55%";"61,89%";"61,89%";"66,02%";"63,10%";"68,80%";"63,10%";"63,10%";"60,48%";"63,10%";"62,64%";"57,01%";"14036527";"108510"
