Name;Position;Club;Age;Int Caps;Int Goals;Wage;Value;Sale Value;Best Rating;Best Pot Rating;Squad Rep;Squad Status;GK Rating;SW Rating;DL Rating;DC Rating;DR Rating;WBL Rating;WBR Rating;DM Rating;ML Rating;MC Rating;MR Rating;AML Rating;AMC Rating;AMR Rating;FS Rating;TS Rating;GK Pot Rating;SW Pot Rating;DL Pot Rating;DC Pot Rating;DR Pot Rating;WBL Pot Rating;WBR Pot Rating;DM Pot Rating;ML Pot Rating;MC Pot Rating;MR Pot Rating;AML Pot Rating;AMC Pot Rating;AMR Pot Rating;FS Pot Rating;TS Pot Rating;Unique ID;Club ID
Canever, Franco;D/WB/M L;Aldosivi;26;0;0;2.080;1.161.230;1.958.340;67,7% (FB);67,7% (FB);4750;First Team;0,3325;0,5248;0,6766;0,4950;0,6313;0,6706;0,6257;0,5774;0,6639;0,5978;0,6180;0,6499;0,5656;0,6180;0,5775;0,5112;0,3325;0,5248;0,6766;0,4950;0,6313;0,6706;0,6257;0,5785;0,6639;0,5992;0,6180;0,6499;0,5656;0,6180;0,5775;0,5112;14022658;108510
Capurro, Alejandro;DM;Aldosivi;35;0;0;2.170;145.320;243.840;71,6% (M);71,4% (M);4750;First Team;0,3741;0,5993;0,6617;0,5926;0,6617;0,6481;0,6739;0,6973;0,6627;0,7163;0,7035;0,6627;0,6422;0,7005;0,6145;0,6137;0,3741;0,5993;0,6617;0,5926;0,6617;0,6481;0,6739;0,6956;0,6627;0,7141;0,7035;0,6627;0,6422;0,7005;0,6145;0,6137;950056;108510
Díaz, Gastón;D/WB R, DM, M RC;Aldosivi;34;0;0;2.310;152.440;257.010;66,6% (W);66,6% (W);4750;Key Player;0,3093;0,5590;0,6531;0,5363;0,6628;0,6467;0,6590;0,6338;0,6552;0,6528;0,6659;0,6198;0,5684;0,6198;0,5916;0,5351;0,3093;0,5590;0,6531;0,5363;0,6628;0,6467;0,6590;0,6348;0,6552;0,6542;0,6659;0,6198;0,5684;0,6198;0,5916;0,5351;955472;108510
Fredes, Leonardo;AM L;Aldosivi;24;0;0;710;950.950;1.261.480;60,5% (W);62,1% (W);4750;Backup;0,2804;0,4443;0,5059;0,4047;0,5059;0,5414;0,5148;0,4843;0,6054;0,5141;0,5636;0,6014;0,5736;0,5636;0,5651;0,4745;0,2873;0,4579;0,5215;0,4170;0,5215;0,5573;0,5300;0,5014;0,6210;0,5324;0,5780;0,6168;0,5897;0,5780;0,5795;0,4858;14060065;108510
Galván, Jonathan;D C, DM;Aldosivi;25;0;0;1.290;1.415.410;2.334.360;67,6% (DM);68,7% (DM);4750;First Team;0,3466;0,5945;0,6414;0,6586;0,6414;0,6332;0,6332;0,6764;0,6223;0,6731;0,6223;0,6223;0,5818;0,6223;0,5886;0,5957;0,3504;0,6022;0,6494;0,6660;0,6494;0,6411;0,6411;0,6871;0,6305;0,6846;0,6305;0,6305;0,5902;0,6305;0,5974;0,6021;14048604;108510
Lagos, Diego;AM RC, F C;Aldosivi;29;0;0;3.120;1.090.890;1.822.220;72,5% (W);74,3% (W);4750;Key Player;0,3099;0,5413;0,6249;0,5205;0,6249;0,6320;0,6320;0,5912;0,6768;0,6338;0,7154;0,6768;0,6737;0,7253;0,7109;0,6314;0,3178;0,5565;0,6408;0,5335;0,6408;0,6477;0,6477;0,6100;0,6932;0,6545;0,7328;0,6932;0,6913;0,7429;0,7291;0,6473;956666;108510
Lamberti, Hernán;M RC;Aldosivi;31;0;0;1.320;189.580;228.460;72,6% (W);73,6% (W);4750;First Team;0,3524;0,5962;0,6760;0,5847;0,7176;0,6694;0,7132;0,7028;0,6755;0,7185;0,7256;0,6755;0,6131;0,6755;0,6159;0,5804;0,3561;0,6042;0,6855;0,5916;0,7277;0,6788;0,7233;0,7131;0,6847;0,7294;0,7356;0,6847;0,6219;0,6847;0,6252;0,5877;961320;108510
León, Federico;D RC;Aldosivi;31;0;0;2.100;427.870;720.300;69,0% (CB);70,1% (CB);4750;First Team;0,3458;0,6541;0,6324;0,6895;0,6749;0,6122;0,6499;0,6090;0,5810;0,5923;0,5810;0,5810;0,5172;0,5810;0,5374;0,5932;0,3527;0,6674;0,6448;0,7014;0,6881;0,6240;0,6625;0,6231;0,5929;0,6068;0,5929;0,5929;0,5291;0,5929;0,5497;0,6040;955975;108510
Lequi, Matías;D C;Aldosivi;34;0;0;1.940;133.140;215.010;73,9% (CB);73,9% (CB);4750;First Team;0,3431;0,6447;0,6447;0,7387;0,6131;0,5877;0,5877;0,5992;0,5622;0,5796;0,5622;0,5622;0,4816;0,5622;0,5200;0,6405;0,3431;0,6447;0,6447;0,7387;0,6131;0,5877;0,5877;0,6112;0,5622;0,5960;0,5622;0,5622;0,4816;0,5622;0,5200;0,6405;6300464;108510
Lope, Andrés;DM;Aldosivi;23;0;0;780;653.240;1.099.990;62,9% (M);68,8% (M);4750;Rotation;0,3304;0,5175;0,5658;0,5103;0,5658;0,5599;0,5599;0,6011;0,5710;0,6292;0,5710;0,5710;0,5426;0,5710;0,5630;0,5192;0,3623;0,5753;0,6255;0,5619;0,6255;0,6189;0,6189;0,6602;0,6310;0,6880;0,6310;0,6310;0,6048;0,6310;0,6264;0,5701;14036527;108510
