"","Pos","Nombre","Valor","PT","Prom","Reg","PJ","F","GC","GP","GR","EC","VI","A","R","PE","PA","equipo"
"1","ARQ","Bulasio, Ariel","$2.000.000","46","0,00","0,00","7","0","1","0","0","0","0","2","0","0","0","aldosivi"
"2","ARQ","Vega, Matías","$1.000.000","23","3,83","4,25","6","0","0","0","10","0","0","0","0","0","0","aldosivi"
"3","ARQ","Campodónico, Pablo","$3.400.000","24","3,43","6,25","7","0","0","0","12","0","1","0","0","0","0","aldosivi"
"4","DEF","Quílez, Ismael","$2.400.000","46","4,60","6,61","10","0","0","0","0","0","2","3","0","0","0","aldosivi"
"5","DEF","Canever, Franco","$2.900.000","46","4,60","5,73","10","0","0","0","0","0","1","2","0","0","0","aldosivi"
"6","DEF","Borjas, Emiliano","$300.000","46","0,00","0,00","7","0","1","0","0","0","2","2","0","0","0","aldosivi"
"7","DEF","Arias, Ramiro","$500.000","37","5,29","7,71","7","0","0","0","0","0","3","2","0","0","0","aldosivi"
"8","DEF","Díaz, Gastón","$3.300.000","58","5,80","34,86","10","0","2","3","0","0","1","5","1","1","0","aldosivi"
"9","DEF","Ortíz, Guillermo","$2.600.000","48","4,80","6,50","10","0","0","0","0","0","1","4","0","0","0","aldosivi"
"10","DEF","Galván, Jonatan","$2.700.000","64","5,82","18,25","11","1","1","0","0","0","1","4","1","0","0","aldosivi"
"11","DEF","Morel, Leandro","$300.000","46","0,00","0,00","7","0","1","0","0","0","2","2","0","0","0","aldosivi"
"12","DEF","León, Federico","$3.000.000","46","0,00","0,00","7","0","1","0","0","0","2","2","0","0","0","aldosivi"
"13","DEF","Ledesma, Damián","$3.000.000","34","5,67","8,23","6","1","0","0","0","0","0","1","0","0","0","aldosivi"
"14","VOL","Llama, Cristian","$4.100.000","41","5,86","11,75","7","0","1","0","0","0","0","2","0","0","0","aldosivi"
"15","VOL","Lamberti, Hernán","$2.900.000","56","5,09","8,63","11","1","0","0","0","0","0","2","1","0","0","aldosivi"
"16","VOL","Pájaro, Nahuel","$300.000","11","5,50","3,53","2","0","0","0","0","0","0","0","0","0","0","aldosivi"
"17","VOL","Garay, Ramiro","$300.000","46","0,00","0,00","7","0","1","0","0","0","0","2","0","0","0","aldosivi"
"18","VOL","Castro, Alexis Nicolás","$2.700.000","14","4,67","3,48","3","0","0","0","0","0","0","0","0","0","0","aldosivi"
"19","VOL","Sosa, Franco","$300.000","46","0,00","0,00","7","0","1","0","0","0","0","2","0","0","0","aldosivi"
"20","VOL","Poclaba, Raúl","$2.300.000","46","0,00","0,00","7","0","1","0","0","0","0","2","0","0","0","aldosivi"
"21","VOL","Rosso, Matías","$900.000","3","3,00","0,53","1","0","0","0","0","0","0","1","0","0","0","aldosivi"
"22","VOL","Rivero, Martín","$2.000.000","62","4,77","4,48","13","0","0","0","0","0","0","2","0","0","0","aldosivi"
"23","DEL","Lugüercio, Pablo","$4.000.000","23","7,67","14,12","3","1","1","0","0","0","0","1","0","0","0","aldosivi"
"24","DEL","Dinenno, Juan Ignacio","$3.300.000","16","8,00","9,00","2","0","1","0","0","0","0","0","0","0","0","aldosivi"
"25","DEL","Rosales, Santiago","$300.000","89","6,85","14,75","13","2","2","0","0","0","0","0","0","0","0","aldosivi"
"26","DEL","Vildozo, Angel","$2.800.000","46","0,00","0,00","7","0","1","0","0","0","0","2","0","0","0","aldosivi"
"27","DEL","Penco, Sebastián","$4.500.000","80","6,15","11,13","13","0","4","0","0","0","0","1","0","0","0","aldosivi"
"28","DEL","Bandiera, Neri","$1.500.000","62","7,75","23,23","8","1","3","0","0","0","0","0","0","0","0","aldosivi"
"29","DEL","Di Yorio, Lucas","$300.000","3","3,00","0,53","1","0","0","0","0","0","0","1","0","0","0","aldosivi"
"30","ARQ","Lanzillotta, Federico","$2.200.000","38","4,75","11,11","8","0","0","0","12","0","3","0","0","0","0","argentinos"
"31","ARQ","Cháves, Lucas","$300.000","46","0,00","0,00","7","0","1","0","0","0","0","2","0","0","0","argentinos"
"32","ARQ","Vargas, Camilo","$3.200.000","8","1,60","2,25","5","0","0","0","16","0","0","2","0","0","1","argentinos"
"33","DEF","Piovi, Gonzalo","$300.000","41","5,13","8,25","8","0","0","0","0","0","3","3","0","0","0","argentinos"
"34","DEF","Benítez, Guillermo","$300.000","17","3,40","2,81","5","0","0","0","0","0","0","2","0","0","0","argentinos"
"35","DEF","Torrén, Miguel Angel","$3.200.000","45","5,00","8,65","9","0","0","0","0","0","3","2","0","0","0","argentinos"
"36","DEF","Mosevich, Leonel","$300.000","3","3,00","0,60","1","0","0","0","0","0","0","1","0","0","0","argentinos"
"37","DEF","Mac Allister, Kevin","$300.000","10","3,33","2,36","3","0","0","0","0","1","1","1","0","0","0","argentinos"
"38","DEF","Matricardi, Patricio","$2.000.000","20","5,00","6,31","4","0","0","0","0","0","3","1","1","0","0","argentinos"
"39","DEF","Difonti, Alan","$300.000","46","0,00","0,00","7","0","1","0","0","0","2","2","0","0","0","argentinos"
"40","DEF","Freire, Nicolás","$2.900.000","34","4,25","5,23","8","0","0","0","0","0","1","0","1","0","0","argentinos"
"41","DEF","Martínez, Matías","$3.200.000","11","2,20","1,96","5","0","0","0","0","0","0","3","1","0","0","argentinos"
"42","DEF","Laso, Joaquín","$1.500.000","30","4,29","5,48","7","0","0","0","0","0","2","4","0","0","0","argentinos"
"43","DEF","Batallini, Damián","$300.000","51","6,38","13,53","8","0","1","0","0","0","3","2","1","0","0","argentinos"
"44","VOL","Ledesma, Cristian","$4.400.000","52","5,20","7,94","10","1","0","0","0","0","0","3","0","0","0","argentinos"
"45","VOL","Ham, Ezequiel","$1.500.000","46","0,00","0,00","7","0","1","0","0","0","0","2","0","0","0","argentinos"
"46","VOL","Insúa, Federico","$4.700.000","60","6,00","19,06","10","0","1","1","0","0","0","0","0","0","0","argentinos"
"47","VOL","García, Matías","$1.000.000","46","0,00","0,00","7","0","1","0","0","0","0","2","0","0","0","argentinos"
"48","VOL","Colman, Iván","$600.000","7","3,50","1,37","2","0","0","0","0","0","0","1","0","0","0","argentinos"
"49","VOL","Riquelme, Sebastián","$300.000","46","0,00","0,00","7","0","1","0","0","0","0","2","0","0","0","argentinos"
"50","VOL","Cobo, Juan","$3.600.000","28","4,67","5,19","6","0","0","0","0","0","0","0","0","0","0","argentinos"
"51","VOL","Barboza, Facundo","$300.000","18","4,50","3,86","4","0","0","0","0","0","0","0","0","0","0","argentinos"
"52","VOL","Rodríguez, Lucas","$2.200.000","33","4,71","5,56","7","0","0","0","0","0","0","0","0","0","0","argentinos"
"53","VOL","Cabral, Luciano","$3.100.000","63","5,73","16,56","11","1","1","0","0","0","0","1","0","0","0","argentinos"
"54","VOL","Trovento, Emiliano","$300.000","46","0,00","0,00","7","0","1","0","0","0","0","2","0","0","0","argentinos"
"55","VOL","Romero, Braian","$2.800.000","54","5,40","12,61","10","0","1","0","0","0","0","2","0","0","0","argentinos"
"56","VOL","Rolón, Esteban","$400.000","37","4,11","4,96","9","0","0","0","0","0","0","5","0","0","0","argentinos"
"57","DEL","Mesa, Lautaro","$300.000","46","0,00","0,00","7","0","1","0","0","0","0","2","0","0","0","argentinos"
"58","DEL","Bueno, Carlos","$4.400.000","56","7,00","19,25","8","1","2","1","0","0","0","1","0","0","0","argentinos"
"59","DEL","Cano, Lucas","$2.800.000","9","4,50","2,25","2","0","0","0","0","0","0","0","0","0","0","argentinos"
"60","DEL","Rinaldi, Lautaro","$2.500.000","42","7,00","15,48","6","0","2","0","0","0","0","0","0","0","0","argentinos"
"61","DEL","Zelaya, Emilio","$3.300.000","46","4,18","7,11","11","0","1","0","0","0","0","1","1","0","0","argentinos"
"62","DEL","Rodríguez, Nahuel","$500.000","16","4,00","3,13","4","0","0","0","0","0","0","1","0","0","0","argentinos"
"63","ARQ","Aquino, Mauricio","$300.000","46","0,00","0,00","7","0","1","0","0","0","0","2","0","0","0","arsenal"
"64","ARQ","Servio, Gaspar","$2.500.000","46","0,00","0,00","7","0","1","0","0","0","0","2","0","0","0","arsenal"
"65","ARQ","Pellegrino, Fernando","$3.000.000","100","6,67","14,69","15","1","0","0","14","0","7","1","0","0","0","arsenal"
"66","DEF","Varga, Iván","$1.700.000","46","0,00","0,00","7","0","1","0","0","0","2","2","0","0","0","arsenal"
"67","DEF","Sánchez , Salvador","$500.000","46","0,00","0,00","7","0","1","0","0","0","2","2","0","0","0","arsenal"
"68","DEF","Bottinelli, Jonathan","$3.500.000","86","5,73","3,86","15","0","0","0","0","1","7","4","0","0","0","arsenal"
"69","DEF","Vella, Luciano","$2.500.000","76","5,85","6,69","13","0","0","0","0","0","7","3","0","0","0","arsenal"
"70","DEF","Milo, Federico","$1.200.000","46","0,00","0,00","7","0","1","0","0","0","2","2","0","0","0","arsenal"
"71","DEF","Martínez, Adrián","$2.600.000","46","0,00","0,00","7","0","1","0","0","0","2","2","0","0","0","arsenal"
"72","DEF","Corvalán, Claudio","$2.500.000","93","6,20","4,53","15","0","0","0","0","0","7","3","0","0","0","arsenal"
"73","DEF","Gómez Andrade, Yeimar","$2.800.000","12","6,00","4,06","2","0","0","0","0","0","1","0","0","0","0","arsenal"
"74","DEF","Curado, Marcos","$1.300.000","89","5,93","5,00","15","0","0","0","0","0","7","3","0","0","0","arsenal"
"75","VOL","Lértora, Federico","$3.200.000","75","5,36","6,96","14","1","0","0","0","0","0","6","0","0","0","arsenal"
"76","VOL","Flores, Federico","$2.100.000","46","0,00","0,00","7","0","1","0","0","0","0","2","0","0","0","arsenal"
"77","VOL","Giménez, Gonzalo","$400.000","4","4,00","0,94","1","0","0","0","0","0","0","0","0","0","0","arsenal"
"78","VOL","Zaldívar, Matías","$1.000.000","25","5,00","5,62","5","0","0","0","0","0","0","0","0","0","0","arsenal"
"79","VOL","Ferreyra, Germán","$500.000","19","9,50","13,65","2","0","1","0","0","0","0","0","0","0","0","arsenal"
"80","VOL","López, Ramiro","$3.100.000","46","0,00","0,00","7","0","1","0","0","0","0","2","0","0","0","arsenal"
"81","VOL","Luna, Fernando","$500.000","51","6,38","18,65","8","1","1","0","0","0","0","1","0","0","0","arsenal"
"82","VOL","Barbieri, Mariano","$2.400.000","94","7,83","26,86","12","2","2","0","0","0","0","1","0","0","0","arsenal"
"83","VOL","Carrera, Ramiro","$2.500.000","48","6,00","20,88","8","0","2","0","0","0","0","1","1","0","0","arsenal"
"84","VOL","Papa, Gonzalo","$2.000.000","43","4,30","5,71","10","0","0","0","0","0","0","4","0","0","0","arsenal"
"85","VOL","Caneo, Miguel","$4.700.000","32","6,40","14,75","5","0","1","0","0","0","0","1","0","0","0","arsenal"
"86","VOL","Bellocq, Franco","$2.800.000","49","7,00","22,18","7","1","2","0","0","0","0","4","0","0","0","arsenal"
"87","VOL","Ruiz, Ezequiel","$600.000","5","5,00","1,46","1","0","0","0","0","0","0","0","0","0","0","arsenal"
"88","VOL","Sanabria, Gabriel","$1.800.000","87","7,91","31,25","11","2","2","0","0","0","0","0","0","0","0","arsenal"
"89","VOL","Bazán, Gonzalo","$2.200.000","90","6,00","12,73","15","0","2","0","0","0","0","3","0","0","0","arsenal"
