"","Pos.","Nombre","Valor","PT","Prom","Reg","PJ","F","GC","GP","GR","EC","VI","A","R","PE","PA","equipo"
"1","ARQ","Bulasio, Ariel","$2.000.000","19","3,00","0,00","0","0","0","0","0","0","0","2","1","0","0","aldosivi"
"2","ARQ","Vega, Matías","$1.000.000","19","3,00","0,00","0","0","0","0","0","0","0","2","1","0","0","aldosivi"
"3","ARQ","Campodónico, Pablo","$3.400.000","84","5,25","16,17","1","1","0","0","23","0","6","3","0","0","0","aldosivi"
"4","DEF","Díaz, Gastón","$3.000.000","75","5,77","13,54","0","0","1","2","0","0","5","7","1","0","0","aldosivi"
"5","DEF","Soto, Carlos","$2.200.000","5","5,00","1,38","0","0","0","0","0","0","0","0","0","0","0","aldosivi"
"6","DEF","Canever, Franco","$2.900.000","89","5,93","6,06","1","0","0","0","0","0","6","1","0","0","0","aldosivi"
"7","DEF","Ortíz, Guillermo","$2.400.000","31","5,17","7,44","1","0","0","0","0","1","3","1","0","0","0","aldosivi"
"8","DEF","Lequi, Matías","$3.600.000","71","6,45","20,97","0","0","1","0","0","0","4","5","0","0","0","aldosivi"
"9","DEF","León, Gonzalo","$800.000","19","3,00","0,00","0","0","0","0","0","0","1","2","1","0","0","aldosivi"
"10","DEF","León, Federico","$2.800.000","90","5,63","4,33","1","0","0","0","0","0","6","3","0","0","0","aldosivi"
"11","DEF","Vargas, Roque","$1.600.000","19","3,00","0,00","0","0","0","0","0","0","1","2","1","0","0","aldosivi"
"12","DEF","Quílez, Ismael","$2.600.000","7","3,50","1,30","1","0","0","0","0","0","0","1","0","0","0","aldosivi"
"13","VOL","Gargiulo, Juan Pablo","$2.000.000","19","3,00","0,00","0","0","0","0","0","0","0","2","1","0","0","aldosivi"
"14","VOL","Galván, Jonatan","$2.600.000","0","0,00","0,00","0","0","0","0","0","0","0","0","0","0","0","aldosivi"
"15","VOL","Fredes, Leonardo","$1.400.000","19","3,00","0,00","0","0","0","0","0","0","0","2","1","0","0","aldosivi"
"16","VOL","Rivero, Martín","$1.200.000","31","5,17","6,15","0","0","0","0","0","0","0","0","0","0","0","aldosivi"
"17","VOL","Toro, Braian","$900.000","0","0,00","0,00","0","0","0","0","0","0","0","0","0","0","0","aldosivi"
"18","VOL","Capurro, Alejandro","$3.200.000","68","5,23","5,76","1","0","0","0","0","0","0","2","0","0","0","aldosivi"
"19","VOL","Seccafién, Enrique","$3.000.000","31","4,43","5,20","0","0","0","0","0","0","0","2","0","0","0","aldosivi"
"20","VOL","Muller, Miltón","$700.000","19","3,00","0,00","0","0","0","0","0","0","0","2","1","0","0","aldosivi"
"21","VOL","Buzzini, Mariano","$500.000","0","0,00","0,00","0","0","0","0","0","0","0","0","0","0","0","aldosivi"
"22","VOL","Lamberti, Hernán","$3.100.000","73","4,87","4,09","1","0","0","0","0","0","0","6","0","0","0","aldosivi"
"23","DEL","Rosales, Santiago","$300.000","0","0,00","0,00","0","0","0","0","0","0","0","0","0","0","0","aldosivi"
"24","DEL","Lugüercio, Pablo","$3.700.000","93","5,81","10,48","1","1","3","0","0","0","0","4","0","0","0","aldosivi"
"25","DEL","Lagos, Diego","$3.500.000","63","6,30","18,68","1","2","1","0","0","0","0","3","0","0","0","aldosivi"
"26","DEL","Sand, José Gustavo","$4.400.000","96","6,40","9,52","1","1","4","0","0","0","0","3","0","0","0","aldosivi"
"27","DEL","Dip, Daniel","$1.000.000","19","3,00","0,00","0","0","0","0","0","0","0","2","1","0","0","aldosivi"
"28","DEL","Menseguez, Juan Carlos","$2.300.000","15","5,00","3,75","1","0","0","0","0","0","0","0","0","0","0","aldosivi"
"29","DEL","Vildozo, Angel","$2.500.000","5","5,00","1,38","0","0","0","0","0","0","0","0","0","0","0","aldosivi"
"30","DEL","Miracco, Nicolás","$2.200.000","7","3,50","1,30","1","0","0","0","0","0","0","1","0","0","0","aldosivi"
"31","DEL","Martínez, Roger","$3.300.000","110","7,86","22,48","0","4","5","0","0","0","0","6","0","0","0","aldosivi"
"32","ARQ","Gabbarini, Adrián","$3.600.000","9","9,00","4,48","1","1","0","0","2","0","0","0","0","0","0","argentinos"
"33","ARQ","Giovini, Sebastián","$600.000","19","3,00","0,00","0","0","0","0","0","0","0","2","1","0","0","argentinos"
"34","DEF","Rodríguez, Lucas","$1.900.000","19","3,00","0,00","0","0","0","0","0","0","1","2","1","0","0","argentinos"
"35","DEF","Alvarez, Cristian","$3.000.000","43","6,14","11,07","1","1","0","0","0","0","4","2","0","0","0","argentinos"
"36","DEF","Sabia, Juan Alberto","$2.500.000","19","3,00","0,00","0","0","0","0","0","0","1","2","1","0","0","argentinos"
