"","Pos","Nombre","Valor","PT","Prom","Reg","PJ","F","GC","GP","GR","EC","VI","A","R","PE","PA","equipo"
"1","ARQ","Bulasio, Ariel","$2.000.000","53","4,84","0,00","0","0","1","0","0","0","0","7","1","0","0","aldosivi"
"2","ARQ","Vega, Matías","$1.000.000","53","4,84","0,00","0","0","1","0","0","0","0","7","1","0","0","aldosivi"
"3","ARQ","Campodónico, Pablo","$3.400.000","152","5,24","14,06","29","1","0","0","40","0","11","3","0","0","0","aldosivi"
"4","DEF","Díaz, Gastón","$3.000.000","133","6,33","16,85","21","0","2","3","0","0","9","9","1","0","0","aldosivi"
"5","DEF","Soto, Carlos","$2.200.000","5","5,00","0,81","1","0","0","0","0","0","0","0","0","0","0","aldosivi"
"6","DEF","Canever, Franco","$2.900.000","106","5,30","9,12","20","0","0","0","0","2","7","2","0","0","0","aldosivi"
"7","DEF","Ortíz, Guillermo","$2.400.000","88","5,87","15,06","15","1","1","0","0","1","7","6","0","0","0","aldosivi"
"8","DEF","Lequi, Matías","$3.600.000","134","6,09","15,38","22","0","1","0","0","0","9","7","0","0","0","aldosivi"
"9","DEF","León, Gonzalo","$800.000","53","4,84","0,00","0","0","1","0","0","0","4","7","1","0","0","aldosivi"
"10","DEF","León, Federico","$2.800.000","129","5,86","12,61","22","0","1","0","0","1","8","3","0","0","0","aldosivi"
"11","DEF","Vargas, Roque","$1.600.000","53","4,84","0,00","0","0","1","0","0","0","4","7","1","0","0","aldosivi"
"12","DEF","Quílez, Ismael","$2.600.000","50","4,17","5,56","12","0","0","0","0","0","3","6","0","0","0","aldosivi"
"13","VOL","Gargiulo, Juan Pablo","$2.000.000","53","4,84","0,00","0","0","1","0","0","0","0","7","1","0","0","aldosivi"
"14","VOL","Galván, Jonatan","$2.600.000","67","5,58","14,78","12","1","1","0","0","0","0","3","0","0","0","aldosivi"
"15","VOL","Fredes, Leonardo","$1.400.000","4","4,00","0,52","1","0","0","0","0","0","0","0","0","0","0","aldosivi"
"16","VOL","Rivero, Martín","$1.200.000","72","5,14","7,11","14","0","0","0","0","0","0","2","0","0","0","aldosivi"
"17","VOL","Toro, Braian","$900.000","53","4,84","0,00","0","0","1","0","0","0","0","7","1","0","0","aldosivi"
"18","VOL","Capurro, Alejandro","$3.200.000","105","5,00","8,58","21","0","1","0","0","0","0","4","1","0","0","aldosivi"
"19","VOL","Seccafién, Enrique","$3.000.000","61","4,36","5,43","14","0","0","0","0","0","0","6","0","0","0","aldosivi"
"20","VOL","Muller, Miltón","$700.000","53","4,84","0,00","0","0","1","0","0","0","0","7","1","0","0","aldosivi"
"21","VOL","Buzzini, Mariano","$500.000","53","4,84","0,00","0","0","1","0","0","0","0","7","1","0","0","aldosivi"
"22","VOL","Lamberti, Hernán","$3.100.000","127","4,88","3,91","26","0","0","0","0","0","0","8","0","0","0","aldosivi"
"23","DEL","Rosales, Santiago","$300.000","51","7,29","15,94","7","1","2","0","0","0","0","0","0","0","0","aldosivi"
"24","DEL","Lugüercio, Pablo","$3.700.000","163","6,04","14,91","27","3","5","0","0","0","0","7","0","0","0","aldosivi"
"25","DEL","Lagos, Diego","$3.500.000","98","5,76","13,60","17","2","1","0","0","0","0","3","0","0","0","aldosivi"
"26","DEL","Sand, José Gustavo","$4.400.000","155","6,20","11,87","25","2","6","0","0","0","0","5","0","0","0","aldosivi"
"27","DEL","Dip, Daniel","$1.000.000","53","4,84","0,00","0","0","1","0","0","0","0","7","1","0","0","aldosivi"
"28","DEL","Menseguez, Juan Carlos","$2.300.000","19","4,75","2,70","4","0","0","0","0","0","0","0","0","0","0","aldosivi"
"29","DEL","Vildozo, Angel","$2.500.000","21","4,20","2,68","5","0","0","0","0","0","0","1","0","0","0","aldosivi"
"30","DEL","Miracco, Nicolás","$2.200.000","43","5,38","7,58","8","0","1","0","0","0","0","2","0","0","0","aldosivi"
"31","DEL","Martínez, Roger","$3.300.000","145","6,59","19,61","22","4","6","0","0","1","0","9","1","0","0","aldosivi"
"32","ARQ","Giovini, Sebastián","$600.000","7","7,00","1,58","1","0","0","0","0","0","1","0","0","0","0","argentinos"
"33","ARQ","Gabbarini, Adrián","$3.600.000","73","5,21","10,91","14","1","0","0","23","0","3","1","0","0","1","argentinos"
"34","DEF","Matricardi, Patricio","$2.000.000","113","4,52","5,78","25","0","0","0","0","0","9","9","1","0","0","argentinos"
"35","DEF","Alvarez, Cristian","$3.000.000","50","5,56","7,96","9","1","0","0","0","0","4","2","0","0","0","argentinos"
"36","DEF","Sabia, Juan Alberto","$2.500.000","53","4,84","0,00","0","0","1","0","0","0","4","7","1","0","0","argentinos"
"37","DEF","Batista, Nicolás","$3.100.000","53","4,84","0,00","0","0","1","0","0","0","4","7","1","0","0","argentinos"
"38","DEF","Rodríguez, Lucas","$1.900.000","11","5,50","1,90","2","0","0","0","0","0","1","0","0","0","0","argentinos"
"39","DEF","Torrén, Miguel Angel","$3.300.000","91","5,35","10,30","17","0","0","0","0","0","6","4","1","0","0","argentinos"
"40","DEF","Laso, Joaquín","$1.300.000","64","4,57","7,72","14","0","0","0","0","0","4","5","1","0","0","argentinos"
"41","DEF","Flores, Franco","$3.000.000","53","4,82","7,31","11","0","0","0","0","0","4","3","1","0","0","argentinos"
"42","DEF","Almandoz, Mariano","$2.200.000","20","5,00","3,36","4","0","0","0","0","0","2","2","0","0","0","argentinos"
"43","DEF","Freire, Nicolás","$2.600.000","103","6,06","14,58","17","0","1","0","0","0","7","3","0","0","0","argentinos"
"44","DEF","Salinas, Alexis","$300.000","53","4,84","0,00","0","0","1","0","0","0","4","7","1","0","0","argentinos"
"45","DEF","Garré, Ezequiel","$3.500.000","147","5,88","9,42","25","0","1","1","0","0","9","3","1","0","0","argentinos"
"46","VOL","Ham, Ezequiel","$900.000","58","7,25","12,00","8","0","2","0","0","0","0","0","0","0","0","argentinos"
"47","VOL","Gallego, Federico","$2.400.000","86","5,06","8,05","17","0","1","0","0","0","0","5","0","0","0","argentinos"
"48","VOL","Giménez, Matías","$2.700.000","26","4,33","3,18","6","0","0","0","0","0","0","0","0","0","0","argentinos"
"49","VOL","Alaniz, Martín","$500.000","23","4,60","2,98","5","0","0","0","0","0","0","0","0","0","0","argentinos"
"50","VOL","García, Matías","$1.000.000","53","4,84","0,00","0","0","1","0","0","0","0","7","1","0","0","argentinos"
"51","VOL","Iñiguez, Gaspar","$3.000.000","80","5,71","9,96","14","1","0","0","0","0","0","2","0","0","0","argentinos"
"52","VOL","Trovento, Emiliano","$300.000","4","4,00","0,52","1","0","0","0","0","0","0","0","0","0","0","argentinos"
"53","VOL","Ledesma, Cristian","$4.300.000","119","5,67","11,77","21","4","0","0","0","0","0","8","0","0","0","argentinos"
"54","VOL","Agüero, Emiliano","$500.000","48","4,80","5,31","10","0","0","0","0","0","0","1","0","0","0","argentinos"
"55","VOL","Basualdo, Germán","$2.300.000","10","3,33","1,96","3","0","0","0","0","0","0","1","1","0","0","argentinos"
"56","VOL","Navarro, Leandro","$2.000.000","32","6,40","7,06","5","0","1","0","0","0","0","1","0","0","0","argentinos"
"57","VOL","Cabral, Luciano","$2.800.000","129","6,79","21,08","19","3","2","0","0","0","0","1","0","0","0","argentinos"
"58","VOL","Rolón, Esteban","$300.000","53","4,84","0,00","0","0","1","0","0","0","0","7","1","0","0","argentinos"
"59","DEL","Rinaldi, Lautaro","$2.300.000","143","5,96","11,91","24","0","6","1","0","0","0","2","1","1","0","argentinos"
"60","DEL","Freitas, Maximiliano","$1.700.000","8","4,00","1,06","2","0","0","0","0","0","0","0","0","0","0","argentinos"
"61","DEL","Rodríguez, Jonathan","$1.400.000","55","5,50","8,01","10","0","1","0","0","0","0","1","0","0","0","argentinos"
